時刻,東キャンパス受電電力量,西キャンパス受電電力量
2017-04-01 00:00:00,784,278
2017-04-01 01:00:00,785,283
2017-04-01 02:00:00,790,281
2017-04-01 03:00:00,782,282
2017-04-01 04:00:00,766,286
2017-04-01 05:00:00,770,285
2017-04-01 06:00:00,845,324
2017-04-01 07:00:00,910,415
2017-04-01 08:00:00,1221,562
2017-04-01 09:00:00,1635,645
2017-04-01 10:00:00,1742,683
2017-04-01 11:00:00,1738,716
2017-04-01 12:00:00,1581,736
2017-04-01 13:00:00,1503,754
2017-04-01 14:00:00,1437,696
2017-04-01 15:00:00,1330,633
2017-04-01 16:00:00,1197,555
2017-04-01 17:00:00,1116,484
2017-04-01 18:00:00,1088,490
2017-04-01 19:00:00,1015,490
2017-04-01 20:00:00,938,423
2017-04-01 21:00:00,862,337
2017-04-01 22:00:00,780,309
2017-04-01 23:00:00,760,295
2017-04-02 00:00:00,751,269
2017-04-02 01:00:00,761,273
2017-04-02 02:00:00,749,267
2017-04-02 03:00:00,749,280
2017-04-02 04:00:00,744,272
2017-04-02 05:00:00,772,274
2017-04-02 06:00:00,752,272
2017-04-02 07:00:00,705,269
2017-04-02 08:00:00,696,290
2017-04-02 09:00:00,651,290
2017-04-02 10:00:00,648,291
2017-04-02 11:00:00,648,287
2017-04-02 12:00:00,667,287
2017-04-02 13:00:00,648,291
2017-04-02 14:00:00,669,298
2017-04-02 15:00:00,704,300
2017-04-02 16:00:00,782,302
2017-04-02 17:00:00,790,312
2017-04-02 18:00:00,818,413
2017-04-02 19:00:00,833,454
2017-04-02 20:00:00,818,369
2017-04-02 21:00:00,804,321
2017-04-02 22:00:00,766,308
2017-04-02 23:00:00,758,301
2017-04-03 00:00:00,765,269
2017-04-03 01:00:00,763,268
2017-04-03 02:00:00,752,275
2017-04-03 03:00:00,741,271
2017-04-03 04:00:00,739,279
2017-04-03 05:00:00,768,287
2017-04-03 06:00:00,766,301
2017-04-03 07:00:00,792,320
2017-04-03 08:00:00,1109,448
2017-04-03 09:00:00,1689,657
2017-04-03 10:00:00,1752,686
2017-04-03 11:00:00,1767,705
2017-04-03 12:00:00,1709,729
